probe_id,GI-78,GI-91,GI-94,GI-95,GI-100,GI-103,GI-113,GI-121,GI-135,GI-142,GC-92,GC-94,GC-95,GC-109,GC-117,GC-121,GC-131,GC-133,GC-136,GC-138
ASHGA5P009353,7.0987153,6.392606,6.0039973,6.2303214,7.0322933,6.2677007,6.9086394,6.0907273,5.854939,7.0683446,5.5952277,6.0588026,5.695246,5.671398,5.890292,5.369404,6.37697,5.252246,5.9213977,5.346771
ASHGA5P009388,5.7390485,6.991844,2.4806867,6.939397,5.389576,6.7974443,5.3564653,2.3639536,2.4753165,5.6576633,7.3239813,7.1106944,5.4919486,7.2389436,7.1187387,4.435688,8.190828,6.93721,7.1744466,4.875793
ASHGA5P009399,4.9881077,6.295398,4.1981883,5.8887167,4.680612,5.882175,4.7145567,2.6014726,3.6676123,4.8628025,5.4399905,5.990515,4.880983,5.6141033,5.8795996,2.7568562,5.85861,6.0453753,5.9613457,2.8232124
ASHGA5P009400,6.7205286,6.4252815,5.6774197,6.312145,6.5598183,6.444391,6.5863447,4.051241,4.5930986,6.752555,5.869073,5.8275967,6.123049,5.9031053,5.696591,4.6764545,5.3974304,5.818572,5.8140798,4.8650045
ASHGA5P009515,4.3895016,4.1359315,4.803746,5.666921,6.0234227,5.5138974,6.2081857,6.3320484,6.340157,4.100686,3.8702075,4.1654725,5.272829,3.6964593,4.092234,5.8867803,5.159659,4.9399276,4.02815,5.969309
ASHGA5P009636,8.343065,9.937061,7.653219,9.919734,8.671871,9.996974,8.694373,7.639826,7.545408,8.354039,9.392833,9.313942,8.031285,9.457066,9.402742,7.951807,7.948835,9.865257,9.369319,7.9342747
ASHGA5P009689,5.491751,9.024506,3.9120767,8.903262,5.7204094,8.842664,5.2152014,3.3783324,3.4646194,5.921568,9.350043,9.494707,7.1689487,9.692899,9.087099,6.6638546,8.837788,9.119226,9.219055,6.7977953
ASHGA5P009811,6.082362,8.054242,4.743449,8.102101,6.086523,8.261928,6.0239944,4.9419336,4.6568503,5.724046,8.497098,8.601536,6.7974443,8.520239,8.429657,5.95272,7.8661575,9.054212,8.330211,5.990515
ASHGA5P009829,2.643763,3.23199,2.4806867,5.123706,6.2266374,5.103695,6.37697,7.6628323,7.7127314,2.6382046,2.354479,3.5777814,2.8216047,6.0039973,5.6522226,9.218191,7.2755823,5.6581416,5.5660515,9.051981
ASHGA5P009842,7.803179,6.6870933,6.4216185,6.5088344,7.6109047,6.6086183,7.694272,6.2155704,6.0929794,7.748689,5.9967794,5.726551,6.7788806,6.125041,5.3518105,6.041442,4.6840334,4.858053,5.550806,6.1182213
ASHGA5P010071,6.138428,6.792758,5.4145193,6.9176383,6.642859,6.9811435,6.65157,7.600074,7.6473684,6.353669,6.465464,6.4542003,5.776942,6.7677255,6.2632694,6.4429975,6.288241,6.1793365,6.3243537,6.6040254
ASHGA5P010172,5.193637,2.4847622,4.369416,3.0089936,4.8231544,3.6341255,4.5811877,5.3224354,5.131192,5.9400406,4.3810263,2.5982292,4.8099775,5.210946,2.9839258,5.2828283,4.5089874,4.3344564,3.5797584,5.5065613
ASHGA5P010331,5.2866616,4.7903786,5.5120015,5.003961,6.144583,5.119063,6.6324244,7.7519236,7.9330864,4.8093333,5.0240564,5.2773733,5.050766,6.087824,5.2119136,7.1881995,6.0147796,6.135629,5.367073,7.245377
ASHGA5P010387,7.172397,6.073111,6.911841,6.4049444,7.282198,6.450398,7.2565804,6.506933,6.5693274,6.9138618,5.5428457,5.7789664,6.9253902,5.5106225,5.5625224,6.6038103,5.606618,5.538039,5.394333,6.6224866
ASHGA5P010527,2.643763,2.4847622,4.4809446,4.8715706,5.0555406,4.641416,4.8006706,6.046943,6.1390057,2.6382046,4.759969,3.9873297,2.6339543,4.99833,5.09171,6.2390323,5.7888203,3.2187421,5.1385784,5.9213977
ASHGA5P010584,9.072182,8.743287,8.568442,8.906793,8.941478,8.8613,8.925919,8.876003,8.952961,9.074497,10.255772,11.965026,8.522083,10.440521,11.084957,8.146439,11.078024,12.089512,11.084957,8.053155
ASHGA5P010755,7.210652,6.3716464,6.3795633,6.488229,7.4228435,6.565058,7.7776227,7.389647,7.5382915,7.2862024,6.3441315,6.162698,7.191878,6.548669,6.07931,7.7373834,6.3822727,6.627733,5.8121967,8.033295
ASHGA5P010821,8.8054085,9.148541,8.386047,9.227236,8.911945,9.157439,8.904492,8.388974,8.346958,8.877022,9.347684,9.049796,9.865257,9.3504715,9.126432,9.550796,8.609482,9.009139,9.104701,9.471456
ASHGA5P011073,7.1881995,6.350596,7.553238,6.1499057,7.1152377,5.847536,6.976891,6.8883495,6.951375,7.1035624,5.507962,4.9484024,7.364843,5.17547,4.340257,5.270871,4.903148,4.690315,4.4486895,5.1480165
ASHGA5P011252,7.3321676,7.518388,7.1827836,7.3143606,7.290043,7.3254323,7.5894246,6.947577,6.649338,7.270697,6.7237763,7.184233,7.1212883,6.9925456,7.3120728,6.5966086,7.0298266,7.6497326,7.32436,6.444391
ASHGA5P011492,12.785735,12.115742,13.330734,12.249984,12.971495,12.23054,12.895459,13.29904,13.352051,12.846678,12.77438,12.615349,13.692709,12.787639,12.9086685,13.551197,12.432066,12.45473,12.810597,13.58018
ASHGA5P011493,12.830995,12.112989,13.269294,12.258087,12.796041,12.256736,12.798402,12.921373,12.895459,12.805386,12.173811,12.575761,13.642918,12.245326,12.472411,13.382161,12.119725,12.205353,12.469867,13.269294
ASHGA5P011991,13.07445,13.565792,12.859748,13.523309,13.063064,13.569477,13.165814,12.900445,12.918418,13.10646,13.135989,13.410114,13.016249,13.392981,13.185951,12.948366,12.636502,13.10978,13.139664,12.805386
ASHGA5P012433,8.990424,8.36481,8.956,8.462576,8.923585,8.473358,8.892833,8.254082,8.342462,9.095917,7.3713293,7.73775,9.0864935,7.58861,7.229239,8.629257,7.410401,8.003757,7.2157454,8.490523
ASHGA5P012456,2.643763,2.4847622,2.4806867,3.2774608,3.481074,3.1284575,3.882979,4.262418,4.6089473,2.6382046,4.5041575,5.424468,2.668576,4.7635813,5.3726077,4.897239,4.727623,4.9894085,5.2703114,5.1344714
ASHGA5P012558,7.533126,8.08676,7.0416784,8.065209,7.7066894,8.0616,7.7223363,6.7615204,6.7991157,7.411905,9.167192,8.921597,7.740013,9.095917,8.985105,7.140154,9.053641,8.782647,8.872864,7.186215
ASHGA5P012636,8.20338,8.049354,8.0474825,8.001616,8.301701,8.00656,8.17819,8.356718,8.357154,8.207473,7.6970744,7.817676,8.489302,7.6354885,7.9000926,8.211504,7.5621667,7.7033906,7.77572,8.159389
ASHGA5P012678,4.8649015,4.845378,5.195615,4.926731,5.0785604,4.5853252,5.528888,4.385629,4.2989593,5.0581713,4.4094024,4.2449474,5.440819,4.2295012,4.0192075,4.411147,4.4188204,4.856976,3.79265,4.591787
ASHGA5P012682,5.332472,5.0553746,2.4806867,4.63104,5.158728,4.649026,4.8761415,3.766898,4.216845,6.792758,6.090421,8.8027115,4.798352,6.1246977,8.764871,4.9112043,7.8549285,9.234758,8.776744,4.6295705
ASHGA5P012691,5.472408,5.4265428,6.9350944,5.5848207,5.5370016,5.523079,5.492766,8.547709,8.557929,5.468148,6.8487835,5.266758,5.5408807,6.9427547,5.705916,5.620434,5.9462743,5.6325417,5.575464,5.745661
ASHGA5P012797,4.1400023,4.874557,5.3711376,4.879519,4.4564977,4.8445535,4.689379,4.558658,4.5579476,4.611066,4.540801,4.757356,4.8787737,4.665617,4.224766,5.3220897,4.2443366,4.6487007,4.4621997,5.2616067
ASHGA5P012915,5.64256,7.0553546,5.489985,6.936346,5.842022,7.0152955,5.906769,5.035891,5.149133,5.3923,6.8969173,7.076614,6.8748455,6.9279647,6.971763,6.439028,7.0863543,6.8121233,7.0471168,6.1662626
ASHGA5P013023,2.643763,5.6489663,4.3114996,5.803462,5.161974,5.7910824,5.123706,6.633602,6.687874,3.8003762,4.920104,6.048018,7.359351,5.2820873,5.685974,6.4610476,5.7883883,6.4225564,5.775929,6.571543
ASHGA5P013052,8.001945,8.748335,8.06869,8.642197,8.077086,8.62695,7.9854827,7.7563996,7.871761,8.081162,7.689424,7.498439,7.5022445,7.676293,7.375249,6.537047,8.392353,8.380748,7.429516,6.6650176
ASHGA5P013053,9.497109,10.722167,9.555792,10.85541,9.61747,10.875247,9.6497135,9.118605,9.118605,9.521028,10.378357,9.305759,9.606722,10.0445175,9.35731,9.172103,8.6216755,10.107117,9.338039,9.212673
ASHGA5P013065,7.991976,6.9044175,7.3817973,6.9948206,7.981765,6.9995584,7.8948803,7.840355,7.9328136,8.096523,6.5133066,6.4617405,7.9032917,6.521114,6.5439453,7.2761755,6.5601463,6.9286647,6.5111103,7.2755823
ASHGA5P013202,9.851365,9.365215,9.8702,9.1809,9.716171,9.249804,9.629048,10.166535,10.170564,9.7426195,8.635221,8.359818,9.862068,8.788033,8.619265,9.809015,8.399318,8.336683,8.565513,9.681505
ASHGA5P013205,9.213918,8.344232,9.182798,8.814901,9.072182,8.863717,8.877022,8.963491,8.966252,9.245489,8.7463455,7.980257,9.276662,8.837788,7.9058046,9.296024,8.819938,7.8959265,7.910014,9.236796
ASHGA5P013216,11.991079,11.562017,11.740042,10.974381,11.61055,10.980839,11.659079,11.970507,11.989081,12.030172,9.9205885,10.005965,11.148542,10.717963,9.132917,11.097314,9.893771,9.96628,9.1727705,11.118836
ASHGA5P013224,10.865174,8.860573,10.02168,8.892833,10.5204935,8.703279,10.652877,9.681505,9.676552,10.907006,8.352662,8.295506,8.853558,8.648714,8.082945,8.55667,7.4398994,8.76554,8.079146,8.624125
ASHGA5P013324,5.4648676,4.344685,5.777278,3.5208588,5.6216106,4.304521,5.607183,4.335394,4.2310767,5.8699503,5.0920854,4.26818,5.7407584,5.0870285,4.1694107,4.5999827,4.347878,4.491485,15.031451,4.674218
ASHGA5P013408,7.2720485,6.1694617,4.493257,5.9035683,7.306879,5.8469687,7.252358,4.19523,3.6345508,7.186215,5.9026976,5.803052,7.0230494,5.9008126,5.591198,5.968875,4.92285,5.1949487,5.380166,5.7208695
ASHGA5P013446,2.643763,2.4847622,4.333103,4.4278016,4.111271,4.1983037,3.958176,5.9841924,6.4247704,2.6382046,5.1678033,6.446627,2.7106173,5.327179,6.351767,5.436808,5.8783,6.474807,6.402684,5.1084127
ASHGA5P013553,6.91931,7.694272,6.5641737,7.7563996,7.22368,7.653219,7.220874,6.0421653,6.008315,6.8172994,7.152197,6.036185,5.9578514,6.704021,5.8175826,5.237975,6.9307995,4.8866687,5.6147685,4.73828
ASHGA5P013591,8.908208,9.22363,8.606737,9.205421,8.954799,9.26419,8.863045,8.320776,8.393502,8.974159,8.754907,8.845558,8.8805065,8.821268,9.064017,8.627474,8.502376,8.945572,8.996849,8.675863
ASHGA5P013620,5.6881266,5.5219274,2.4806867,4.9900355,5.156036,5.134341,5.7413235,2.419452,2.5807517,5.5899253,5.814889,6.818625,4.985463,6.087178,6.5240383,3.347161,6.3255124,5.9972677,6.56061,3.435406
